gene_id,gene_symbol,specificity_score,mean_progenitor_residual,mean_differentiated_residual
ENSG00000199121,MIR26B,0.5254402461215991,4.003028305671512e-05,3.615398975487148e-05
ENSG00000169026,SLC49A3,0.5254163051753463,0.011566990577620865,0.010447915438210966
ENSG00000049130,KITLG,0.5254072397505521,0.06575494793526222,0.05939549339950265
ENSG00000099849,RASSF7,0.5253738285010243,0.035436259880742685,0.032013350203276926
ENSG00000137509,PRCP,0.5253693627656677,0.06853267508208571,0.06191397814739387
ENSG00000042445,RETSAT,0.525339998550495,0.03322660954595868,0.03002121022340348
ENSG00000092051,JPH4,0.5253216409784136,0.002275970721441559,0.0020565572840724623
ENSG00000150681,RGS18,0.525311771654911,0.09280447358872476,0.08386103934345084
ENSG00000188026,RILPL1,0.5253075167613664,0.018319689986566544,0.016554530164539165
ENSG00000150712,MTMR12,0.5252990255292014,0.037487620171082356,0.033876723467888316
ENSG00000167380,ZNF226,0.5252944038013395,0.013514929734326225,0.012213365934777115
ENSG00000099385,BCL7C,0.5252558496710565,0.033704658496650566,0.03046341981748575
ENSG00000101363,MANBAL,0.5252394131084158,0.019523351482825274,0.017647034051048237
ENSG00000283785,MIR15A,0.5252142907418146,2.67801207554425e-05,2.4208820763300558e-05
ENSG00000135636,DYSF,0.525214100855811,0.14477080285616825,0.13087069766765855
ENSG00000133313,CNDP2,0.5252117846251522,0.06325283940660305,0.05718017687033959
ENSG00000213585,VDAC1,0.5252076340880831,0.09545004644683001,0.08628768973927801
ENSG00000103932,RPAP1,0.5251924220391111,0.008047779368445659,0.007275707854007717
ENSG00000108528,SLC25A11,0.5251739124456665,0.04514391607163184,0.04081602025003825
ENSG00000140545,MFGE8,0.5251700623829532,0.21893900387884538,0.19795262715856018
ENSG00000221838,AP4M1,0.5251398034515657,0.009526878757131005,0.008614726001285827
ENSG00000122877,EGR2,0.5251309857044945,0.03149691609544712,0.028482245205027526
ENSG00000161671,EMC10,0.5251231497133101,0.026684761569266746,0.024131435705287307
ENSG00000048052,HDAC9,0.5250976570171183,0.10703068540759308,0.09679937168234713
ENSG00000154646,TMPRSS15,0.5250929929966445,0.00047390777048583526,0.00042861383388998945
ENSG00000100056,ESS2,0.5250815062675813,0.005544460376713489,0.005014777209323362
ENSG00000196981,WDR5B,0.5250031041582478,0.005169224589276099,0.004676859268769011
ENSG00000143553,SNAPIN,0.5249724987489435,0.035916709315468864,0.032499654210356964
ENSG00000073598,FNDC8,0.5249663142876885,0.001222193496711306,0.0011059434969349718
ENSG00000255302,EID1,0.5249624179417082,0.13435690558055052,0.12157933097394794
ENSG00000179832,MROH1,0.524956563669082,0.042564513300486,0.03851745851636223
ENSG00000169189,NSMCE1,0.5249450327961198,0.03724085143423113,0.03370153130604879
ENSG00000187871,GFRAL,0.5249404918775579,0.00042238865536066975,0.00038225236947227783
ENSG00000109133,TMEM33,0.5249323156954677,0.04807334107514703,0.04350673437030549
ENSG00000199102,MIR302C,0.5249120656547448,1.3085432502418392e-05,1.1843376261191153e-05
ENSG00000137674,MMP20,0.5249038163411689,0.0005586520992789691,0.0005056421235617826
ENSG00000155719,OTOA,0.5248946351977176,0.006924578225730814,0.006267742216108831
ENSG00000207170,RNU6-1215P,0.524847695509033,1.8382580802882145e-05,1.6642019591053986e-05
ENSG00000100151,PICK1,0.524834043009767,0.0246973076701876,0.022360058366047195
ENSG00000137841,PLCB2,0.5248253605584521,0.03415762361804649,0.030926166505396313
ENSG00000149295,DRD2,0.5248067975815128,0.00023450126431039456,0.0002123322473572433
ENSG00000100401,RANGAP1,0.5248038874845556,0.02777412430318505,0.025148738818712862
