drug_name,deformation,deformation_std,n_replicates
brd-k08174547,14438.917,986.120783109349,3
brd-k08325710,10399.567,702.037186266923,3
brd-k08438429,13846.249,1210.822376201136,6
brd-k08447949,16221.513,11946.658341241142,3
brd-k08448573,18663.742,4604.108978030879,2
brd-k08451418,13398.202,2899.677285994676,3
brd-k08463963,12546.501,867.8380929400502,3
brd-k08640787,17639.607,12527.444143198029,3
brd-k08777248,16922.467,3623.6593560292677,3
brd-k08799912,15379.206,1100.2468923075412,3
brd-k08799950,10511.086,770.2577069582167,3
brd-k08829932,17903.74,14049.981418423104,3
brd-k08887444,14251.824,3853.2373825485324,3
brd-k08995965,17686.643,6772.182685646312,3
brd-k09191212,12278.112,2495.681792156381,6
brd-k09299610,16073.579,8993.316657090938,3
brd-k09460252,11438.706,973.2694229664047,3
brd-k09716788,8502.134,1214.1644424042831,3
brd-k09902564,10192.413,458.1438099943082,3
brd-k09922072,12451.298,1139.952745716013,3
brd-k10114046,12957.603,867.9452086676542,3
brd-k10143126,12429.833,1698.6585524847799,3
brd-k10361096,16933.004,10691.355931835666,3
brd-k10405667,15626.755,1753.4765939986853,3
brd-k10436544,21969.908,6881.958857413612,3
brd-k10649245,13471.503,2169.757197147887,3
brd-k10806285,9102.922,1420.8450286019583,3
brd-k10833576,21271.314,9628.411662968334,3
brd-k10846167,19316.06,9214.83080271562,3
brd-k10855750,9721.015,393.9746809503621,3
brd-k10906552,15439.64,1535.0335282686863,2
brd-k11072542,14928.987,2325.6205665721086,3
brd-k11147885,10128.2,964.8666096697401,3
brd-k11224669,15280.87,2264.408304866525,3
brd-k11533227,18425.594,521.8496844677272,3
brd-k11611839,9285.711,957.1206558427541,3
brd-k11757396,9100.676,688.532125101927,3
brd-k11778076,9377.927,1435.79997216281,3
brd-k11778372,10573.804,1947.877373934462,3
brd-k11795542,18048.346,7202.15771370141,3
brd-k11928012,18411.678,14174.821606563248,3
brd-k12105018,10517.915,213.38466297029277,2
brd-k12168891,12493.773,1779.8748234188988,3
brd-k12182524,13805.815,1840.252759188087,3
brd-k12393722,9558.216,731.8610527751082,3
brd-k12401458,17373.955,11862.971534121787,3
brd-k12579869,17706.951,8971.44946665522,3
brd-k12621773,14938.414,491.8260572019786,3
brd-k12623437,13745.812,2282.7144299783076,3
brd-k12690157,12818.191,4447.204082782748,3
brd-k12814321,15060.132,8641.679091084163,3
brd-k13277629,18838.326,6449.245023718202,3
brd-k13318664,12668.84,3512.272653056194,3
brd-k13580623,10470.695,2743.578079848535,3
brd-k13604076,14425.754,847.78004107228,3
brd-k13872703,13282.446,2172.604078847214,3
